Learned weight vectors and counts:
w: [0. 0. 0. 0.], count: 1
w: [-3.75612215 -2.2503995  -2.029952   -1.78879656], count: 3
w: [-3.77341815 -2.3685595  -1.891772   -1.71543656], count: 13
w: [-3.60542815 -1.9478795  -2.345752   -1.95474656], count: 18
w: [-3.45465815 -1.7519195  -2.651592   -1.96698956], count: 1
w: [-3.35271815 -1.6416295  -2.881592   -1.90759456], count: 13
w: [-3.50499815 -2.2895195  -2.305912   -1.82026956], count: 16
w: [-3.28556815 -1.8344895  -2.803512   -2.09280956], count: 2
w: [-3.46046815 -2.4676895  -2.193642   -2.07854356], count: 29
w: [-3.28715815 -2.0722495  -2.667762   -2.32871356], count: 12
w: [-3.21273015 -2.4494795  -2.506452   -2.17117356], count: 7
w: [-3.46646015 -3.1453795  -1.625912   -2.01828356], count: 8
w: [-3.4660547  -3.0824745  -1.690033   -1.94246656], count: 29
w: [-3.5642477  -2.8029145  -1.813443   -2.09914656], count: 1
w: [-3.5521217  -2.7805675  -1.86077    -2.00212256], count: 14
w: [-3.3940217  -2.6936585  -2.09215    -1.91971056], count: 13
w: [-3.2732217  -2.2862185  -2.5685     -2.18100056], count: 10
w: [-3.2388817  -2.2738035  -2.597233   -2.16634656], count: 47
w: [-3.2174507  -2.3433325  -2.509522   -2.13669356], count: 37
w: [-3.2694007  -2.0170025  -2.818472   -2.03820356], count: 4
w: [-3.3629877  -2.5270825  -2.364802   -1.89954356], count: 32
w: [-3.4149347  -2.2007525  -2.673752   -1.80105156], count: 18
w: [-3.41452925 -2.1378475  -2.737873   -1.72523456], count: 15
w: [-3.64370925 -2.8635475  -1.941903   -1.63312456], count: 8
w: [-3.47039925 -2.4681075  -2.416023   -1.88329456], count: 19
w: [-3.31962925 -2.2721475  -2.721863   -1.89553756], count: 18
w: [-3.18962925 -3.2989275  -2.426563   -1.30915756], count: 3
w: [-3.39491925 -2.9150775  -2.506107   -1.43053756], count: 36
w: [-3.27293925 -2.7052575  -2.825647   -1.41769456], count: 12
w: [-3.49918925 -2.715191   -2.544377   -1.36903256], count: 33
w: [-3.39281925 -2.345621   -2.960317   -1.56282256], count: 3
w: [-3.55958925 -3.060971   -2.171027   -1.46605756], count: 8
w: [-3.45764925 -2.950681   -2.401027   -1.40666256], count: 4
w: [-3.25454925 -2.765481   -2.702237   -1.40636226], count: 18
w: [-3.09550925 -2.544271   -3.014067   -1.41808726], count: 9
w: [-3.03957025 -2.575311   -2.99576    -1.37343426], count: 10
w: [-3.19279025 -3.084971   -2.32797    -1.35593626], count: 4
w: [-3.07000025 -2.681881   -2.79232    -1.74718626], count: 30
w: [-3.13600825 -3.004481   -2.41174    -1.62882626], count: 2
w: [-3.13298635 -3.109601   -2.2715     -1.55145726], count: 6
w: [-2.89381635 -2.653951   -2.77038    -1.84132726], count: 14
w: [-3.01949635 -2.801281   -2.4832     -1.79667426], count: 27
w: [-2.84074635 -2.323281   -2.99682    -2.12029426], count: 18
w: [-2.76631835 -2.700511   -2.83551    -1.96275426], count: 1
w: [-3.02050835 -2.766315   -2.56709    -1.84323426], count: 16
w: [-2.87549835 -2.405645   -2.97266    -2.00289426], count: 2
w: [-2.99216835 -2.548015   -2.68025    -1.93677526], count: 8
w: [-3.06204735 -2.885725   -2.26814    -1.78634526], count: 13
w: [-3.26489735 -2.501045   -2.331575   -1.90384526], count: 2
w: [-3.12971735 -2.395095   -2.565945   -1.86384726], count: 3
w: [-3.10728535 -2.447242   -2.606331   -1.74367726], count: 1
w: [-3.26757535 -2.486145   -2.444331   -1.55264726], count: 1
w: [-3.13574535 -2.295975   -2.775441   -1.54614016], count: 18
w: [-3.51777535 -3.601485   -1.079611   -1.77666016], count: 2
w: [-3.76263535 -2.969735   -1.875931   -1.79726216], count: 18
w: [-3.60453535 -2.882826   -2.107311   -1.71485016], count: 5
w: [-3.55273535 -2.856961   -2.191396   -1.61873216], count: 7
w: [-3.45156535 -2.766741   -2.426456   -1.57601816], count: 2
w: [-3.48448535 -2.321221   -2.883636   -1.47713816], count: 15
w: [-3.40579535 -3.277851   -2.504966   -0.72679816], count: 2
w: [-3.45507635 -2.971801   -2.688526   -1.01019816], count: 22
w: [-3.47237235 -3.089961   -2.550346   -0.93683816], count: 3
w: [-3.73117235 -2.703421   -2.583706   -1.06480816], count: 28
w: [-3.73370375 -2.720804   -2.595045   -0.94282816], count: 20
w: [-3.72157775 -2.698457   -2.642372   -0.84580416], count: 3
w: [-3.51980775 -2.518637   -2.938182   -0.82481416], count: 8
w: [-3.87896775 -3.141487   -1.914292   -0.94024416], count: 1
w: [-3.82273575 -3.041337   -2.141552   -0.94084902], count: 20
w: [-3.87468575 -2.715007   -2.450502   -0.84235902], count: 14
w: [-3.76916575 -2.596437   -2.714612   -0.83132602], count: 13
w: [-3.92537575 -2.817647   -2.288702   -0.80335402], count: 28
w: [-3.90098175 -2.670317   -2.430622   -0.86188902], count: 80
w: [-3.86334475 -2.752675   -2.352079   -0.78736502], count: 67
w: [-3.73762475 -2.265365   -2.880689   -1.37477502], count: 60
w: [-3.93828475 -2.937265   -1.979069   -1.36477652], count: 27
w: [-3.87823475 -2.743995   -2.307949   -1.39719152], count: 3
w: [-3.89553075 -2.862155   -2.169769   -1.32383152], count: 5
w: [-3.76035075 -2.756205   -2.404139   -1.28383352], count: 7
w: [-3.74424275 -2.109965   -3.239869   -1.13167352], count: 10
w: [-3.91528275 -2.587765   -2.618779   -1.09193352], count: 16
w: [-3.75624275 -2.366555   -2.930609   -1.10365852], count: 20
w: [-3.72190275 -2.35414    -2.959342   -1.08900452], count: 26
